,cnt_activity,cnt_activity_doc,cnt_activity_pharmacy,cnt_events,cnt_all_promo_tv_takeda,cnt_all_promo_tv_comp,trade_investments_1,cnt_pharmacy,season_coef_month,sum_quantity_tv_promo,season_coef_month_target_1,season_coef_month_target_2,season_coef_month_target_3,season_coef_month_target_4,season_coef_month_target_5,season_coef_month_target_6,season_coef_month_target_7,season_coef_month_target_8,season_coef_month_target_9,season_coef_month_target_10,season_coef_month_target_11,season_coef_month_target_12,sum_salesrur_month,sum_salesrur_month_1,sum_salesrur_month_2,sum_salesrur_month_3,sum_salesrur_month_4,sum_salesrur_month_5,sum_salesrur_month_6,sum_salesrur_month_7,sum_salesrur_month_8,sum_salesrur_month_9,sum_salesrur_month_10,sum_salesrur_month_11,avg_salesrur_month_3,avg_salesrur_month_6,avg_salesrur_month_9,sum_salesrur_delivery_month,sum_salesrur_delivery_month_1,sum_salesrur_delivery_month_2,avg_salesrur_1_month_3,avg_salesrur_1_month_6,avg_salesrur_1_month_9,sum_sellout_packs,avg_price_month,avg_price_month_1,avg_price_month_2,sum_salesrur_budget,sum_salesrur_actual,avg_price_actual,sum_packs_budget,num_comp,sum_packs_comp,sum_rur_comp,cnt_members,month,sum_sales_diff_1,sum_sales_diff_2,sum_sales_diff_3,sum_sales_diff_4,sum_sales_diff_5,sum_sales_diff_6,sum_sales_diff_7,sum_sales_diff_8,sum_sales_diff_9,sum_sales_diff_10,sum_sales_diff_11,sum_rur_takeda,sum_promo_comp,cnt_pharm_act
523,0,0,0,1,0.0,0.0,0.0,0,0.625118760413242,0.0,0.895439288510155,2.73797222815209,2.73797222815209,2.73776834081385,2.73644381291808,1.24985461000863,0.77234920978572,1.90860115607772,1.2348359061835,0.902181966507382,1.16365328104294,0.358268534404201,532476.784409,929083.063273,286048.458627,368951.319995,269559.077244,174400.621292,430972.445108,266319.95814,121640.073824,121581.224553,121572.170819,371729.531739,582536.102103,469515.191442667,375494.644656889,29606995.0,26459519.0,41905922.0,0.914066583146895,0.0315027544554861,1.41806758627824,0.0,3573.66969402013,3559.7052232682,3972.89525870833,384060.06,532476.784409,3573.66969402013,108.0,7.0,980.0,2267327.0,200,5,0.7448329964360725,0.46279637534904483,0.3071034629152858,0.4937636998706232,0.6724728168467127,0.19062678838413658,0.4998468178559361,0.7715579770130087,0.7716684968942938,0.7716854999529531,0.3018859363951699,99574.0,45.0,0.0
524,0,0,0,0,0.0,0.0,0.0,0,1.83749272665911,0.0,0.539233395480602,2.94946354603811,2.94946354603811,0.983871571810637,1.06443129263573,0.324939846844399,2.84730486523577,4.40333767173088,1.83551699526868,1.08985051400877,0.687570822920359,1.36271616932578,528416.129254,712518.729879,1412161.135677,890911.901837,528984.910876,220505.640616,341010.478368,2988124.736264,912187.382005,986877.578307,329199.11672,1800631.79004,884365.331603333,735667.214315167,948313.449419556,29606995.0,26459519.0,41905922.0,0.597508869209057,0.0199522630980301,0.557216740495912,15.0,3619.28855653425,3580.49613004523,3966.74476313764,536970.9,528416.129254,3619.28855653425,151.0,6.0,921.0,1942690.0,0,5,0.348404581981458,1.672441391353139,0.686004367608459,0.001076389592427674,0.5827045610297658,0.3546554325481566,4.654870415258773,0.7262671056101093,0.8676144115817211,0.37700781922619936,2.4076018697273134,656160.0,130.0,0.0
525,0,0,0,1,0.0,0.0,0.0,0,1.04224632372882,0.0,0.756792412201696,0.679288157167783,0.679288157167783,1.5811583163735,0.99127741827153,2.44755150816283,1.43494809843723,1.60817790698082,1.09045682073115,0.572349666414588,0.721119171808024,1.20839395469382,510268.002155,440108.912575,737499.390051,929195.875476,487708.398216,330700.320564,370623.125632,217288.562708,536504.655064,336351.486031,782915.090968,702735.57291,562625.434927,579233.950684167,506655.249160111,29606995.0,26459519.0,41905922.0,0.906940871276476,0.0244704426496934,1.00713059422729,0.0,3568.30770737762,3578.12124044715,3965.05048414516,284483.94,510268.002155,3568.30770737762,80.0,6.0,997.0,1287476.0,20,5,0.13749458967385594,0.4453177289901392,0.8209957738908851,0.04421128474394764,0.35190856732665393,0.2736696714927095,0.5741677671530813,0.05141739791285278,0.3408336705211839,0.5343213520376302,0.3771891828258039,397521.0,47.0,0.0
526,0,0,0,0,0.0,0.0,0.0,0,0.510099539862095,0.0,1.87039551917794,1.13045266942524,1.13045266942524,0.980180625586816,2.28021452110667,1.35331899090501,0.571485246604093,0.705979017455547,3.14257277003589,1.4885405194056,2.45508897805832,0.537916305215245,879626.422628,834139.119939,182762.025101,301434.208598,142780.156982,635567.095252,785141.936908,331553.045844,196778.429959,457769.743372,396918.018391,239894.198223,632175.855889333,520980.645026,476642.493467889,29606995.0,26459519.0,41905922.0,1.39142679119018,0.0469001440427846,1.84546370641052,16.0,3605.0263222459,3610.99186120779,3973.08750219565,522745.74,879626.422628,3605.0263222459,147.0,7.0,1899.0,3006961.0,0,5,0.05171206948638572,0.792227677114366,0.6573156503218429,0.8376809139550112,0.2774579311144844,0.10741433327766021,0.6230751631431881,0.7762931798125181,0.4795861838661548,0.5487652392192187,0.7272771803440323,1035854.0,45.0,0.0
527,0,0,0,1,0.0,0.0,0.0,0,0.581486069407494,0.0,1.12864384543279,0.61690208106348,0.61690208106348,1.56990359823797,2.1126320824602,2.05087646592275,2.40403970656372,1.62530971233032,0.551334603024106,2.48144918600381,0.522086186035654,0.988212856094346,337797.704994,198767.561584,376230.333201,79157.23636,356271.234663,120853.679912,81706.079644,95775.958716,92976.274176,125118.930839,318404.923182,174035.999511,304265.199926333,238321.691741,193281.784805556,29606995.0,26459519.0,41905922.0,1.11020815090186,0.0393722850598262,1.7476954971925,0.0,3593.59260631915,3549.42074257143,3960.31929685263,302275.02,337797.704994,3593.59260631915,85.0,6.0,789.0,1117770.0,45,5,0.41157811718249976,0.11377409508357261,0.7656667431727934,0.05468814440088656,0.6422306068830556,0.758121270701199,0.7164694806979189,0.7247575315005428,0.6296039641796194,0.057409454017292645,0.484792238259608,162990.0,45.0,0.0
